title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Fabricants puces électroniques,2021,"[ ""Alexandre Défossez"" ]",article (presse spécialisée),Objetconnecte.com,Top 10 des plus grands fabricants mondiaux de puces électroniques,Ando R.,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_161651-j6d
Processed World (journal),1981,"[ ""Félix Tréguer"", ""RYBN"" ]",article (presse spécialisée),Processed World Website,"Processed World magazine was founded in 1981 by a small group of dissidents, mostly in their twenties, who were then working in San Francisco's financial district. The magazine's creators found themselves using their only marketable skill after years of university education: “handling information.” In spite of being employed in offices as “temps,” few really thought of themselves as “office workers.” More common was the hopeful assertion that they were photographers, writers, artists, dancers, historians or philosophers.",Processed World,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_153904-w49
Technologies Zombies & Communs Négatifs,2021,"[ ""RYBN"" ]",article de blog,As we May,,Stéphane Crozat,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220615_114739-jhz
AWS Elastic Compute Cloud,2006,"[ ""Frédéric Bardolle"" ]",article de blog,Amazon (website),,AWS,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_160844-lbb
Le pillage de la communauté des logiciels libres,2022,"[ ""RYBN"" ]",article de presse,Le Monde diplomatique,version anglaise,"Mathieu O’Neil, Laure Muselli, Fred Pailler & Stefano Zacchiroli","[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220615_114526-3uv
Un capitalisme de surveillance (Monde diplo),2022,"[ ""RYBN"" ]",article de presse,Monde diplomatique,,Shoshana Zuboff,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_155028-kqd
La dépendance aux gadgets high- tech nous rend plus faibles,2006,"[ ""Marie Lechner"" ]",article de presse,Libération,"Interview de la fondatrice de Futurefarmers, qui revient sur les liens entre production high-tech et environnement.",Marie Lechner,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_163035-qvy
Conférence AI for climate (AI4C),2021,"[ ""Sébastien Loustau"" ]",conférence,Site web de la conférence,Conférence interdisciplinaire sur l'usage du deep learning pour l'écologie et le climat,,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_000945-3iz
Green AI (Pau),2021,"[ ""Sébastien Loustau"" ]",laboratoire,site du laboratoire,"Green AI UPPA, laboratoire fondé et dirigé en 2019 par Sébastien Loustau à l'Université de Pau",,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_000622-fm1
Barjavel | Ravages,1943,"[ ""Frédéric Bardolle"" ]",livre,Wikipedia,"Ravage est un roman de science-fiction post-apocalyptique écrit par René Barjavel, paru en 1943. Le récit est une dystopie révélant le pessimisme de l'auteur à l'égard de l'utilisation du progrès scientifique et des technologies par les hommes. Il s'agit d'un thème typique de la science-fiction post-apocalyptique, brossant le portrait de la fin de l'humanité technologique et la reconstruction d'une civilisation sur d'autres bases. Grand succès populaire, le livre s'est écoulé à plus d'un million d'exemplaires depuis sa sortie et il sert régulièrement de support à l'étude au collège[1]. Dans une société mature, un jour l'électricité disparaît et plus aucune machine ne peut fonctionner. Les habitants, anéantis par la soudaineté de la catastrophe, sombrent dans le chaos, privés d'eau courante, de lumière et de moyens de déplacement...",Barjavel,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_152524-ass
Github - INSEE Onyxia,2022,"[ ""PA Chevalier"" ]",présentation (projet),GitHub,"Description sur GitHub de l'application web Onyxia développée par l'INSEE, conteneur qui regroupe plusieurs technologies en open source pour la data science",InseeFrLab,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_102412-vri
Plastic Origins,2022,"[ ""Charles Ollion"" ]",présentation (projet),Site du projet Plastic Origins,Présentation du projet Plastic Origins mené par l'association SurfRider,Plastic Origins,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_113926-hki
How to lighten AI models,2022,"[ ""Sébastien Loustau"" ]",slides,Green AI,,Yannis Chaigneau et Sébastien Loustau,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_154357-c9b
Bilan Carbone de Facebook,2021,"[ ""Alexandre Défossez"" ]",vidéo,France Inter (site web),,Mathilde Garcia,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_155900-ev1
TOSiT Data platform,2021,"[ ""Damien Robinet"" ]",vidéo,DGFiP,Présentation du projet de lac de données de la DGFiP par Su Yang et de l'infrastructure technique (Data Platform),Su Yang,"[ ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_171632-knf
Un rapide retour sur les frameworks python pour les systèmes multi-agents,2021,"[ ""Cédric Buron"" ]",article de blog,Medium,Post Medium autour des différents frameworks Python utilisés pour les systèmes multi-agents,Cédric Buron,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_132918-fpo
Elections 2017 : une réorganisation du web social,2017,"[ ""Pierre Latouche"" ]",article de presse,The Conversation,Article sur l'étude du web social pour analyser la représentation des partis politiques sur les réseaux sociaux.,"Pierre Latouche, Charles Bouveyron","[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_235031-ck3
Statistical Modeling: The two Cultures,2001,"[ ""Sébastien Loustau"" ]",article scientifique,Statistical Science,,Breiman,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_181809-bns
CIRM,2021,"[ ""Sébastien Loustau"" ]",conférence,Site web de la conférence,Conférence internationale de rencontres mathématiques,,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_001128-jlm
MICCAI 2015,2015,"[ ""Ninon Burgos"" ]",conférence,Site de l'édition 2015 de MICCAI,Programme de l'édition 2015 de la conférence internationale Medical Image Computing and Computer Assisted Intervention (MICCAI),MICCAI 2015,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_143358-7hv
Offres d'emploi - Aramis Lab,2015,"[ ""Ninon Burgos"" ]",fiche de poste,Site de l'Aramis Lab,Liste des offres d'emploi disponibles au sein de l'Aramis Lab,Aramis Lab,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_153810-5jr
Meme Pyhton / Matlab,2021,"[ ""Frédéric Bardolle"" ]",image,Twitter,"Meme qui illustre le rapport entre Pyhton et Matlab, Python étant largement plus utilisé aujourd'hui.",,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221115_140537-xsn
Python,2022,"[ ""Alexandre Défossez"", ""Pierre Latouche"" ]",librairie,Site de Python,Page d'accueil du site du langage informatique Python,Python,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_121402-378
Environnement et librairies de data science (Sia Partners),2021,"[ ""Romain Boucher"" ]",librairie,Sia Parteners site web,,Sia Partners,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_160107-j5y
Page Github - Clinica,2022,"[ ""Ninon Burgos"" ]",logiciel,Github,Page Github du logiciel Clinica DL développé par l'équipe INRIA du laboratoire Aramis au Paris Brain Institute,,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_232708-c9k
Page Github - Hinpy,2021,"[ ""P.Ramaciotti Morales"" ]",logiciel,Github,"Page github du reop HINPy, démarré et géré par Pedro Ramaciotti Morales.",,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_233218-b8x
Wekinator,2015,"[ ""Hugo Scurto"" ]",logiciel,Site web du projet Wekinator,Logiciel open source qui permet la création d'instruments de musique,Rebecca Fiebrink,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_235824-mp5
Clinica,2022,"[ ""Ninon Burgos"" ]",logiciel,Site du logiciel Clinica,"Présentation de la plateforme logicielle Clinica, dédiée aux études cliniques de neuro-imagerie",Aramis Lab,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_145531-8wk
Département de mathématiques - CentralesSupelec,2022,"[ ""Eric Gaussier"" ]",maquette pédagogique,Site de CentraleSupelec,Présentation du département de mathématiques de CentraleSupelec,CentraleSupelec,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_150426-pwu
Applied Deep Learning with Python,2022,"[ ""Charles Ollion"" ]",maquette pédagogique,Site de l'Ecole Polytechnique,"Descriptif du cours ""Applied Deep Learning with Python"" du master ""Data Science"" de l'Ecole Polytechnique",Olivier Grisel & Charles Ollion,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_124520-kyy
Mooc MIT - Introduction to Deep Learning,2022,"[ ""Ninon Burgos"" ]",mooc,Site du Mooc,"Description du cours ""Introduction to Deep Learning"" organisé par le MIT",Alexander Amini & Ava Soleimany,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_155126-nt5
Logiciels de l'Aramis Lab,2022,"[ ""Ninon Burgos"" ]",portfolio,Site de l'Aramis Lab,"Présentation des différents logiciels (Clinica, Deformetrica, Brain network toolbox) créés par l'Aramis Lab",Aramis Lab,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_145855-95k
Projet ANR - PRAIRIE,2019,"[ ""Ninon Burgos"" ]",présentation (recherche),Site de l'ANR,"Présentation du projet ""PaRis Artificial Intelligence Research InstitutE"" (PRAIRIE) sur le site de l'Agence Nationale de la Recherche (ANR)",Collectif,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_112037-s53
Cédric Buron - LinkedIn,2022,"[ ""Cédric Buron"" ]",profil,LinkedIn,"Profil LinkedIn de Cédric Buron, enseignant-chercheur en informatique, avec ses licences et certifications",Cédric Buron,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_132702-ofk
Thèses encadrées par N. Burgos,2022,"[ ""Ninon Burgos"" ]",profil,Theses.fr,Liste de trois thèses co-encadrées par N. Burgos à Sorbonne Université,"Elina Thibeau-Sutre, Simona Bottani & Ravi Hassanaly","[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_153606-csl
OpenReview - Ninon Burgos,2022,"[ ""Ninon Burgos"" ]",profil,Site d'OpenReview,Liste des publications et postes de N. Burgos sur OpenReview,Ninon Burgos,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_154047-fk8
Analyse de réseaux sociaux à l'aide de modèles de graphes alératoires,2011,"[ ""Pierre Latouche"" ]",slides,,Présentation de Pierre Latouche aux Journées MASHS,Pierre Latouche,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_234841-dvm
Timeline et appel à projets 2023 | Stratégie nationale de l'IA,2023,"[ ""médialab"" ]",stratégie,MInistère de l'économie,,,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""0. Des modes de participation à l'IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_104923-3vz
Rapport Villani,2018,"[ ""PA Chevalier"" ]",rapport,Gouvernement,Rapport de Cédric Villani pour une stratégie nationale et européenne sur l'Intelligence Artificielle.,Cédric Villani,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_170724-m9k
Instituts d'IA (stratégie nationale IA),2018,"[ ""Dominique Cardon"", ""Ninon Burgos"", ""Eric Gaussier"" ]",stratégie,Ministère de l'enseignement supérieur et de la recherche,"Lancement de 4 Instituts Interdisciplinaires d'Intelligence Artificielle (3IA) (Grenoble, Nice, Paris et Toulouse) et ouverture de deux appels à projets complémentaires Dans le cadre de la stratégie nationale pour l'intelligence artificielle (IA) annoncée par le Président de la République lors de la journée ""AI for Humanity"" le 29 mars 2018, un ambitieux programme national dédié à la recherche a été lancé le 28 novembre 2018 par la ministre de l'Enseignement Supérieur, de la Recherche et de l'Innovation et le secrétaire d'Etat chargé du numérique.",Ministère de l'enseignement supérieur et de la recherche,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_182454-zmr
A New 2.5D Representation for Lymph Node Detection using Random Sets of Deep Convolutional Neural Network Observations,2014,"[ ""Ninon Burgos"" ]",article scientifique,arXiv,"Selon N. Burgos, c'est un des premiers articles à utiliser des réseaux de neurones convolutionnels profonds pour l'imagerie médicale, notamment pour la détection automatique de ganglion lymphatique","Holger R. Roth, Le Lu, Ari Seff, KevinM. Cherry, Joanne Hoffman, Shijun Wang, Jiamin Liu, Evrim Turkbey, Ronald M. Summers","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_124413-8ll
Computer-aided diagnosis from neuroimages,2020,"[ ""Ninon Burgos"" ]",vidéo,Youtube,Présentation de N. Burgos lors du 3e colloque sur l'imagerie médicale à l'heure de l'IA,Ninon Burgos,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_174705-msy
Parallel Distributed Processing. Explorations in the Microstructure of Cognition (Vol. 1 & 2),1987,"[ ""Dominique Cardon"" ]",livre,Penguin Random House,Volumes 1 & 2 de l'ouvrage collectif PDP,"David E. Rumelhart, James L. Mcclelland & PDP Research Group","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_174016-kp9
La revanche des neurones. L'invention des machines inductives et la controverse de l'intelligence artificielle,2018,"[ ""Dominique Cardon"" ]",article scientifique,Réseaux,"Article de la revue Réseaux sur la controverse entre ""IA symbolique"" et ""IA connexionniste""","Dominique Cardon, Jean-Phillipe Cointet & Antoine Mazières","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_173113-obv
Echange de tweets entre Gary Marcus et Yann Le Cun,2018,"[ ""Dominique Cardon"" ]",tweet,Twitter,Echange de tweets entre Gary Marcus et Yann Le Cun à propos,Gary Marcus & Yann Le Cun,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_175235-v6v
Algodiv,2021,"[ ""P.Ramaciotti Morales"" ]",présentation (recherche),Site web du projet Algodiv,"Description des membres de l'équipe du projet de recherche interdisciplinaire Algodiv, qui s'intéresse aux polarisations des espaces numériques.",,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_233416-3ia
Evaluation de la stratégie nationale de recherche en IA,2023,"[ ""médialab"" ]",rapport,Cour des comptes,,Cour des comptes,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_105145-nq8
"MOOC ""Deep Learning"" du CNAM",2020,"[ ""Ninon Burgos"" ]",mooc,Site de FUN.Mooc,"Mooc autour du ""Deep Learning"" organisé par le CNAM, notamment Nicolas Thome",Nicolas Thome,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_154336-lzi
Deep Learning Paris Meetup,2022,"[ ""Charles Ollion"" ]",startup,Site de Meetup,"Page de présentation du meetup ""Deep Learning Paris""",Jacqueline Isabelle Forien & Franck B.,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_113354-eo1
Linkage : Un outil d'IA pour l'analyse de réseaux,2020,"[ ""Pierre Latouche"" ]",présentation (projet),Site de Linkage,"Plaquette de présentation de la plateforme SAAS Linkage, dédiée à l'analyse de réseaux",Charles Bouveyron & Pierre Latouche,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_172330-75f
AI for Humanity - Présentation stratégie IA 2018,2018,"[ ""PA Chevalier"" ]",stratégie,AI for Humanity,"Présentation de la stratégie IA d'Emmanuel Macron (2018), issue du rapport Villani.",,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_115347-tq2
Scikit-Learn,2022,"[ ""Eric Gaussier"" ]",librairie,Site de Scikit-learn,Page d'accueil de la librairie Python Scikit-learn,Scikit-learn,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_154017-wbx
ImageNet Classification with Deep Convolutional Neural Networks,2012,"[ ""Dominique Cardon"", ""Ninon Burgos"", ""P.Ramaciotti Morales"" ]",article scientifique,NeurIPS Proceedings,Article fondateur du tournant vers le deep learning,"Alex Krizhevsky, Ilya Sutskever & Geoffrey E. Hinton","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_101127-q8z
AI after the pandemic,2020,"[ ""RYBN"" ]",article de blog,medium,,Dan McQuillan,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_140005-xt9
Dans l'esprit du PageRank. Une enquête sur l'algorithme de Google,2013,"[ ""Dominique Cardon"" ]",article scientifique,Réseaux,"Article de Dominique Cardon à propos du PageRank, l'algorithme de Google",Dominique Cardon,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_102637-in3
Why not a sociology of machines? The case of sociology and artificial intelligence,1985,"[ ""médialab"" ]",article scientifique,Sociology (journal),Steve Wooglar,Steve Wooglar,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220920_141311-ygl
Understanding Computers and Cognition,1987,"[ ""Dominique Cardon"" ]",livre,Ablex Publishing Corporation,"Couverture du livre ""Understanding Computers and Cognition: A New Foundation for Design"" co-écrit par Terry Winograd et Fernando Flores",Terry Winograd & Fernando Flores,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_163653-6e5
The Master Algorithm,2015,"[ ""Dominique Cardon"" ]",livre,Basic Books,"Couverture du livre de Pedro Domingos, intitulé ""The Master Algorithm. How the Quest for the Ultimate Learning Machine Will Remake Our World""",Pedro Domingos,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_174455-day
A quoi rêvent les algorithmes. Nos vies à l'heure des big data,2015,"[ ""Dominique Cardon"" ]",livre,Seuil,Livre de Dominique Cardon autour des algorithmes,Dominique Cardon,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_103514-aq4
La Distinction. Critique sociale du jugement,1979,"[ ""Dominique Cardon"" ]",livre,Editions de Minuit,Livre de Pierre Bourdieu sur le phénomène de distinction des classes sociales,Pierre Bouridue,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_103653-9b9
Castoriadis | Démocratie et relativisme,1994,"[ ""Félix Tréguer"" ]",livre,Editions Mille et une nuits,,Castoriadis,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_111049-zac
La simplexité - Alain Berthoz,2009,"[ ""William Eldin"" ]",livre,,,Alain Berthoz,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181113-ykw
XXII-CORE plateforme SaaS,2022,"[ ""William Eldin"" ]",notice produit,XXII (site web),Présentation de la technologie XXII Core qui permet le déploiement et paramétrage d'algorithmes de vision par ordinateur temps réel,,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181331-ani
"Daniel Andler, professeur en philosophie et sciences cognitives",2022,"[ ""Dominique Cardon"" ]",profil,Site personnel de Daniel Andler,"Présentation de la biographie et des publications du chercheur Daniel Andler sur son site personnel. Mathématicien, philosophe, études cognitives. Membre fondateur du groupe Compas de l'ENS su l'apprentissage et l'éducation.",Daniel Andler,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_174725-jbk
Théorie de la Double Causalité,2014,"[ ""William Eldin"" ]",slides,Site de SlidePlayer,"Présentation de Philippe Guillemant, ingénieur de recherche hors classe au CNRS, à propos de ""La rétrocausalité dans l'acte juste. Ce que nous apprend la physique moderne""",Philippe Guillemant,"[ ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_142814-89v
Les compteurs communicants Linky : tirer pour les consommateurs tous les bénéfices d’un investissement coûteux,2018,"[ ""Félix Tréguer"" ]",rapport,cour des comptes,Rapport public annuel 2018 Cour des comptes,cour des comptes,"[ ""2.1. Performer le social"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_122543-5ul
La Terra Formation | Benjamin Bratton,2019,"[ ""Marie Lechner"" ]",livre,Les Presses du Réel,,Benjamin Bratton,"[ ""2.1. Performer le social"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_164359-os0
The Legal Transformation,2019,"[ ""Hugo Ruggieri"" ]",article de blog,Medium,,Nicolas Bustamante,"[ ""2.1. Performer le social"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_160827-js7
Eric Sadin - L'asservissement à l'intelligence artificielle?,2018,"[ ""Romain Boucher"" ]",vidéo,Thinkerview,,Eric Sadin,"[ ""2.1. Performer le social"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181720-kqi
Notice master histoire des sciences et des techniques EHESS,2021,"[ ""Romain Boucher"" ]",maquette pédagogique,,,EHESS,"[ ""2.1. Performer le social"", ""2.4. Réguler l’IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181541-lm7
Code is Law | Lawrence Lessig,2000,"[ ""Hugo Ruggieri"" ]",article scientifique,Harvard Magazine,On liberty in Cyberspace,Lawrence Lessig,"[ ""2.1. Performer le social"", ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_133830-n7e
IA et réforme de l’État : vers des bureaucraties sans humains ?,2021,"[ ""Félix Tréguer"" ]",essai,AOC,AOC,Félix Tréguer,"[ ""2.1. Performer le social"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_101506-8sl
Wizard of Oz,1985,"[ ""RYBN"" ]",article scientifique,University of Michigan,,"Green, Wei-Haas","[ ""2.1. Performer le social"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_175506-4oe
The rise of pseudo AI: how firms use humans to do bots,2018,"[ ""RYBN"" ]",article de presse,The Guardian,,Olivia Solon,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180433-wnv
Babbage's dancer - Simon Schaffer,2007,"[ ""RYBN"" ]",essai,Imaginary Futures,,Simon Schaffer,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_175908-o1l
Amazon Mechanical Turk,2005,"[ ""RYBN"" ]",interface,,,Amazon,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_175725-xzl
Babbage - On the Economy of Machinery and Manufactures,1832,"[ ""RYBN"" ]",livre,,,Babbage,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180825-cwc
Le sexisme dans la Silicon Valley,2013,"[ ""Lucie Ronfaut"" ]",article de presse,Le Figaro,Machisme et sexisme dans l'industrie du high-tech.,Lucie Ronfaut,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_162326-s8p
